product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,date
Bio Topfkräuter „Basilikum“  ,https://offer-images.api.edeka/e07c3464-d60d-4074-b8f2-ba58de5be7fa_80728526-BIO_UHB_BASILIK.I.T.12CM_DE-BW.png?imwidth=3840&imdensity=1,,"aus Deutschland, Topf",,1.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
SanLucar Romatomaten „Topf“,https://offer-images.api.edeka/78fca870-3f5e-4801-ad65-68e28ee54367_Schlemmer_Tomaten_650g_flowpack_DEU.png?imwidth=3840&imdensity=1,,"aus Deutschland, Klasse I, 650-g-Schale",,2.77,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Unsere Heimat – echt & gut Bio Mini Pflaumentomaten ,https://offer-images.api.edeka/56170552-4671-4d09-8dda-340afdff73fe_80551443-BIO_UHB_M.RO.TOM.DE-BW_II_200G-A.png?imwidth=3840&imdensity=1,,"aus Deutschland, Klasse II, 200-g-Schale",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Cherry-Rispentomaten „Juanita“ ,https://offer-images.api.edeka/c97b0f33-204b-4cfc-bcf9-3660b3dbfff0_80468749-CHERRY_RISPENTOM._NL_I_400G_KB-C.png?imwidth=3840&imdensity=1,,"aus den Niederlanden, Klasse I, 300-g-Körbchen",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
SanLucar Rispentomaten „Caprese“ ,https://offer-images.api.edeka/a76bf060-ed31-455c-afb8-c5eadfaa3f22_Caprese_Tomaten_650g_Flowpack_DEU.png?imwidth=3840&imdensity=1,,"aus Deutschland, Klasse I, 650-g-Schale",,2.77,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Melonen „Charentais“  ,https://offer-images.api.edeka/6d394958-da97-4d90-9cda-b7b272930a14_melone_charentais_scheck.png?imwidth=3840&imdensity=1,,"aus Frankreich, Klasse I, Stück",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Melonen „Limetten sweet“  ,https://offer-images.api.edeka/634756dc-1f23-462e-88c9-ad66c476513d_Limelon_Melone.png?imwidth=3840&imdensity=1,,"aus Spanien, Klasse I, Stück",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Melonen „Sugar Baby gold“  ,https://offer-images.api.edeka/88eb526a-3a01-4e69-b50d-a51eb9736d3e_4311527636433_DET.tif.png?imwidth=3840&imdensity=1,,"aus Spanien, Klasse I, Stück",,3.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Bio Avocado ,https://offer-images.api.edeka/70410d01-db44-44ae-aaa6-fd9c8371c482_AdobeStock_51029296.png?imwidth=3840&imdensity=1,,"aus Peru oder Chile, Klasse II, Stück",SUPERKNÜLLER,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Bio idene Bananen ,https://offer-images.api.edeka/30e2fa16-0ec8-4cc5-ae82-b56cd4982d02_Demeter_Banane_gespiegelt.png?imwidth=3840&imdensity=1,,"die ideale Zwischenmahlzeit, 1 kg",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Kirschen ,https://offer-images.api.edeka/9099d5a1-626a-4f8e-9bdc-107678b9d61d_Kirsche_lose.png?imwidth=3840&imdensity=1,,"aus Deutschland, Klasse I, 100 g",SUPERKNÜLLER,0.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Himbeeren ,https://offer-images.api.edeka/bbc2b600-4870-4511-b607-cd6754a00a10_Himbeeren_3b_PL.png?imwidth=3840&imdensity=1,,"aus Deutschland, Klasse I, 250-g-Schale",,3.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
EDEKA Nektarinen oder Pfirsiche ,https://offer-images.api.edeka/61fa96cf-9124-4706-926c-dbd418e6681f_KW19_Nektarinen_2_PL.png?imwidth=3840&imdensity=1,,"gelbfleischig, aus Spanien oder Italien, Klasse I, 1 kg",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
True fruits Smoothie ,https://offer-images.api.edeka/ff5ea47b-23b7-4330-ba8e-71dd8f77a42d_4260122390373_VOR.tif.png?imwidth=3840&imdensity=1,,"verschiedene Sorten, 750-ml-Flasche
 
• In der Kühlung erhältlich",,3.33,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Plattpfirsiche „Paraguayos“ ,https://offer-images.api.edeka/7bd484a4-b145-42ab-8842-0a54ecc4e9df_4311527800544_OUG.tif.png?imwidth=3840&imdensity=1,,"weissfleischig, aus Spanien, Klasse I, 500-g-Packung",,1.00,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Paprika ,https://offer-images.api.edeka/907a8bd7-2bdd-4118-a40b-d083a9ce8245_Paprika_Mix_1_PL.png?imwidth=3840&imdensity=1,,"verschiedene Sorten, aus Deutschland oder Belgien, Klasse I, 1 kg",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Unsere Heimat – echt & gut Bio Shii Take,https://offer-images.api.edeka/10b2190d-471f-4b93-9b02-ac5fb8ec6967_80631011-BIO_UHB_SHIITAKE_2_DE-HE_150G-A.png?imwidth=3840&imdensity=1,,"oder Kräuterseitlinge, aus Deutschland, 150-g-Schale",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Mini Rispentomaten ,https://offer-images.api.edeka/cc2803bf-b942-4cf9-bd5d-9e8c28bc7a08_80120290-EDK_MINI_RISP.TOM.NL_I_400G_SF-A.png?imwidth=3840&imdensity=1,,"aus den Niederlanden oder Belgien, Klasse I, 400-g-Schale",SUPERKNÜLLER,1.00,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Süßkartoffeln ,https://offer-images.api.edeka/01f345a8-5605-4c54-9a74-36cadbacb943_Fotolia_48495597_XXL_PLUS.png?imwidth=3840&imdensity=1,,"aus Ägypten, 1 kg",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
