product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
Bio Topfkräuter „Basilikum“,https://offer-images.api.edeka/ad9faff4-0444-4d5c-b38a-1d5dc7a876c2_80728526-BIO_UHB_BASILIK.I.T.12CM_DE-BW.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Topf",,1.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
SanLucar Romatomaten „Topf“,https://offer-images.api.edeka/b0959fa6-a66a-4fe2-abb6-8c74f604af68_Schlemmer_Tomaten_650g_flowpack_DEU.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, 650-g-Schale",,2.77,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Unsere Heimat – echt & gut Bio Mini Pflaumentomaten,https://offer-images.api.edeka/ff3a83a0-027c-465c-9e83-1ef322ec1a55_80551443-BIO_UHB_M.RO.TOM.DE-BW_II_200G-A.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse II, 200-g-Schale",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Cherry-Rispentomaten „Juanita“,https://offer-images.api.edeka/a9ba8433-4401-4fd5-9eff-1be38e0d669f_80468749-CHERRY_RISPENTOM._NL_I_400G_KB-C.png?imwidth=3840&imdensity=1,,,,"aus den Niederlanden, Klasse I, 300-g-Körbchen",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
SanLucar Rispentomaten „Caprese“,https://offer-images.api.edeka/800bce24-32f5-40c1-a033-2c4fdab8f6e5_Caprese_Tomaten_650g_Flowpack_DEU.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, 650-g-Schale",,2.77,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Melonen „Charentais“,https://offer-images.api.edeka/04a45ee0-bdb1-493e-a1f1-358444661349_melone_charentais_scheck.png?imwidth=3840&imdensity=1,,,,"aus Frankreich, Klasse I, Stück",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Melonen „Limetten sweet“,https://offer-images.api.edeka/ed75361e-af0f-4f6f-87f4-8143fb3e1d60_Limelon_Melone.png?imwidth=3840&imdensity=1,,,,"aus Spanien, Klasse I, Stück",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Melonen „Sugar Baby gold“,https://offer-images.api.edeka/7015c617-3266-4966-9732-886418571e11_4311527636433_DET.tif.png?imwidth=3840&imdensity=1,,,,"aus Spanien, Klasse I, Stück",,3.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Bio Avocado,https://offer-images.api.edeka/65266166-f0a3-447c-afcd-90a20de3bdd4_AdobeStock_51029296.png?imwidth=3840&imdensity=1,,,,"aus Peru oder Chile, Klasse II, Stück",SUPERKNÜLLER,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Bio idene Bananen,https://offer-images.api.edeka/5efd898b-9879-4621-a961-b3ab096897a1_Demeter_Banane_gespiegelt.png?imwidth=3840&imdensity=1,,,,"die ideale Zwischenmahlzeit, 1 kg",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
