product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Heidelbeeren,https://offer-images.api.edeka/0d7545f7-9c3c-49ea-9d36-b0a633243e4f_80347101-KULTURHEIDELBEERE_DE_I_400G_SF-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Polen oder Serbien, Klasse I, 500-g-Schale",SUPERKNÜLLER,3.33,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
Unsere Heimat – echt & gut Bio Rucola,https://offer-images.api.edeka/7d583599-a7c6-47b9-92ba-adf8064bcc4f_80329226-BIO_UHB_RUCOLA_DE-BW_II_125G-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse II, 125-g-Schale",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
Unsere Heimat – echt & gut Bio Kräuterseitlinge,https://offer-images.api.edeka/18588b42-4000-4685-8ccb-3821db42715c_AdobeStock_71341777.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, 100 g",Kein Etikett,1.79,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
Unsere Heimat – echt & gut Bio Mini Pflaumentomaten,https://offer-images.api.edeka/326ed8ad-8acf-4d22-a08b-cd218b268211_80551443-BIO_UHB_M.RO.TOM.DE-BW_II_200G-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse II, 200-g-Schale",Kein Etikett,2.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
Bio Avocados,https://offer-images.api.edeka/818d04ed-7a6a-4d11-a591-d6dec2a678f4_AdobeStock_51029296.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Peru oder Chile, Klasse II, Stück",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
SanLucar Ananas Pflanze,https://offer-images.api.edeka/13d5d46e-972f-45f5-92dc-ae0b2ccc953d_HZ_SL_Ananaspflanze.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"mit Früchten, Stück
 
• Pflegeleicht",Kein Etikett,11.11,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
Bio WWF Bananen,https://offer-images.api.edeka/0cc30b62-7364-45f3-917e-35fbe6caea7a_4311527667925_DET.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"die ideale Zwischenmahlzeit, 1 kg",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
SanLucar Ananas extra sweet,https://offer-images.api.edeka/143629b5-0f4c-4e40-8793-176b76f9b04c_SanLucar_Ananas.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Costa Rica, Klasse I, Stück
 
• Grosse Früchte",Kein Etikett,3.33,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
SanLucar Papaya,https://offer-images.api.edeka/72895555-65a9-4dca-b0f6-94efb9e092a0_HZ_Papaya_lose_1_.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, 1 kg
 
• Grosse Früchte",Kein Etikett,5.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
Zespri Kiwis Gold Jumbo,https://offer-images.api.edeka/53f465e0-7be4-42c5-94b7-590cabc578d5_Jumbo_offen.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Neuseeland, Klasse I, Stück",Kein Etikett,1.00,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-18,Gültig vom 17.07.2023 bis zum 22.07.2023
