product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category
SPECHT Aspikspezialität,https://kaufland.media.schwarz/is/image/schwarz/01388426FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01388426.html,je 100 g ,,1.19 ,mit Hähnchen und Paprikaoder mit Schinkenwürfeln und Champignons,69123,Kaufland,"Fleisch, Geflügel, Wurst"
Frischwurst-Aufschnitt,https://kaufland.media.schwarz/is/image/schwarz/00967260FRTB?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00967239.html,je 100 g ,,0.99 ,"versch. Sorten, z. B. Jagdwurst oder Lyoner",69123,Kaufland,"Fleisch, Geflügel, Wurst"
MONTORSI Mortadella Bologna IGP,https://kaufland.media.schwarz/is/image/schwarz/01025064FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01025064.html,100 g ,,1.29 ,"mit Pistazien, ital. Wurstspezialitätaus ausgewähltem Schweinefleisch,zart und aromatisch",69123,Kaufland,"Fleisch, Geflügel, Wurst"
ZIMMERMANN Gin-Schinken,https://kaufland.media.schwarz/is/image/schwarz/01161841FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01161841.html,100 g ,AKTION,1.49 *,saftig-zarter Schweineschinken aus Bayern,69123,Kaufland,"Fleisch, Geflügel, Wurst"
LANGEWIESCHE Putenbrust,https://kaufland.media.schwarz/is/image/schwarz/00967491FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00967491.html,100 g ,,1.59 ,mit Paprika,69123,Kaufland,"Fleisch, Geflügel, Wurst"
Delikatess-Leberwurst,https://kaufland.media.schwarz/is/image/schwarz/00011918FRa?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011918.html,je 100 g ,,0.59 ,"fein, grob oder mit Schnittlauch",69123,Kaufland,"Fleisch, Geflügel, Wurst"
KRAMER Rindersalami,https://kaufland.media.schwarz/is/image/schwarz/00101491FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00101491.html,100 g ,,1.79 ,fein gekörnt,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schnelle Küche »Kräuterschnitzel«,https://kaufland.media.schwarz/is/image/schwarz/00014203?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014203.html,500-g-Packg. (1 kg = 9.98),AKTION,4.99 *,"aus dem Schweinerücken, auf Kräuterrahmsauce,mit Mozzarella,zum Garen im Backofen",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schnelle Küche Geschnetzeltes Ungarische Art,https://kaufland.media.schwarz/is/image/schwarz/00046062a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014353.html,500-g-Packg. (1 kg = 6.58),AKTION,3.29 *,vom Schwein,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rückensteak Mediterran Style,https://kaufland.media.schwarz/is/image/schwarz/00013362-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014395.html,600-g-Packg. (1 kg = 6.15),,3.69 ,"vom Schwein, mariniert",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schweinehackfleisch,https://kaufland.media.schwarz/is/image/schwarz/00080278a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00080278.html,500-g-Packg. (1 kg = 4.98),,2.49 ,zum Braten,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-WERTSCHÄTZE Bauchscheiben Western Style,https://kaufland.media.schwarz/is/image/schwarz/00014061-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014417.html,350-g-Packg. (1 kg = 6.83),,2.39 ,"vom Schwein, mariniert,3 Stück",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Original Thüringer Rostbratwurst,https://kaufland.media.schwarz/is/image/schwarz/00014423c?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014423.html,4 St. = 400-g-Packg. (1 kg = 5.98),,2.39 ,roh,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schweinenackensteak Western Style,https://kaufland.media.schwarz/is/image/schwarz/00035311?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00035311.html,kg ,AKTION,5.79 *,"mariniert, 6 Stück",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schweinefilet,https://kaufland.media.schwarz/is/image/schwarz/00051003?JGstbGVnYWN5LW9uc2l0ZS0yJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00051003.html,kg ,,6.99 ,"am Stück, für raffinierte Spießvariationen fürGrill und Pfanne",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schinkenschnitzel,https://kaufland.media.schwarz/is/image/schwarz/00015206?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014387.html,600-g-Packg. (1 kg = 6.65),,3.99 ,"aus der Oberschale,saftig und zart",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rinderschmorbraten,https://kaufland.media.schwarz/is/image/schwarz/00054338b?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00054338.html,kg ,,9.99 ,"vom Jungbullen, aus der Keule, zart und saftig",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Pfeffer-Rumpsteak,https://kaufland.media.schwarz/is/image/schwarz/00013131a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013131.html,kg (entspr. z. B. für eine 300-g-Packg. 3.89),AKTION,12.96 *,"vom Jungbullen, mind. 21 Tage gereift",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rib-Eye-Steak,https://kaufland.media.schwarz/is/image/schwarz/00011968?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011968.html,je kg (entspr. z. B. für eine 300-g-Packg. 4.19),,13.96 ,"vom Jungbullen,mit Pfeffer-Paprika- oder Kräuternote",69123,Kaufland,"Fleisch, Geflügel, Wurst"
WESTFALENLAND Côte de Bœuf,https://kaufland.media.schwarz/is/image/schwarz/00013683?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013683.html,kg (entspr. z. B. für eine 500-g-Packg. 7.99),AKTION,15.98 *,"Hochrippe vom Rind, mit Knochen",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rinderspieße,https://kaufland.media.schwarz/is/image/schwarz/00014404?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014493.html,400-g-Packg. (1 kg = 14.98),,5.99 ,"mit Trüffel-Pfeffer-Würzung,zum Grillen und Braten",69123,Kaufland,"Fleisch, Geflügel, Wurst"
