product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,from_to_date
SPECHT Aspikspezialität,https://kaufland.media.schwarz/is/image/schwarz/01388426FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01388426.html,je 100 g ,"
			-29%
					",1.19 ,mit Hähnchen und Paprikaoder mit Schinkenwürfeln und Champignons,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
Frischwurst-Aufschnitt,https://kaufland.media.schwarz/is/image/schwarz/00967260FRTB?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00967239.html,je 100 g ,"
			KNÜLLER
					",0.99 ,"versch. Sorten, z. B. Jagdwurst oder Lyoner","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
MONTORSI Mortadella Bologna IGP,https://kaufland.media.schwarz/is/image/schwarz/01025064FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01025064.html,100 g ,"
			KNÜLLER
					",1.29 ,"mit Pistazien, ital. Wurstspezialitätaus ausgewähltem Schweinefleisch,zart und aromatisch","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
ZIMMERMANN Gin-Schinken,https://kaufland.media.schwarz/is/image/schwarz/01161841FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01161841.html,100 g ,,1.49 *,saftig-zarter Schweineschinken aus Bayern,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
LANGEWIESCHE Putenbrust,https://kaufland.media.schwarz/is/image/schwarz/00967491FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00967491.html,100 g ,"
			KNÜLLER
					",1.59 ,mit Paprika,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
Delikatess-Leberwurst,https://kaufland.media.schwarz/is/image/schwarz/00011918FRa?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011918.html,je 100 g ,"
			1/2 PREIS
					",0.59 ,"fein, grob oder mit Schnittlauch","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
KRAMER Rindersalami,https://kaufland.media.schwarz/is/image/schwarz/00101491FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00101491.html,100 g ,"
			-25%
					",1.79 ,fein gekörnt,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Schnelle Küche »Kräuterschnitzel«,https://kaufland.media.schwarz/is/image/schwarz/00014203?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014203.html,500-g-Packg. (1 kg = 9.98),,4.99 *,"aus dem Schweinerücken, auf Kräuterrahmsauce,mit Mozzarella,zum Garen im Backofen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Schnelle Küche Geschnetzeltes Ungarische Art,https://kaufland.media.schwarz/is/image/schwarz/00046062a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014353.html,500-g-Packg. (1 kg = 6.58),,3.29 *,vom Schwein,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Rückensteak Mediterran Style,https://kaufland.media.schwarz/is/image/schwarz/00013362-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014395.html,600-g-Packg. (1 kg = 6.15),"
			KNÜLLER
					",3.69 ,"vom Schwein, mariniert","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Schweinehackfleisch,https://kaufland.media.schwarz/is/image/schwarz/00080278a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00080278.html,500-g-Packg. (1 kg = 4.98),"
			KNÜLLER
					",2.49 ,zum Braten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-WERTSCHÄTZE Bauchscheiben Western Style,https://kaufland.media.schwarz/is/image/schwarz/00014061-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014417.html,350-g-Packg. (1 kg = 6.83),"
			-25%
					",2.39 ,"vom Schwein, mariniert,3 Stück","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Original Thüringer Rostbratwurst,https://kaufland.media.schwarz/is/image/schwarz/00014423c?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014423.html,4 St. = 400-g-Packg. (1 kg = 5.98),"
			-29%
					",2.39 ,roh,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Schweinenackensteak Western Style,https://kaufland.media.schwarz/is/image/schwarz/00035311?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00035311.html,kg ,,5.79 *,"mariniert, 6 Stück","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Schweinefilet,https://kaufland.media.schwarz/is/image/schwarz/00051003?JGstbGVnYWN5LW9uc2l0ZS0yJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00051003.html,kg ,"
			KNÜLLER
					",6.99 ,"am Stück, für raffinierte Spießvariationen fürGrill und Pfanne","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Schinkenschnitzel,https://kaufland.media.schwarz/is/image/schwarz/00015206?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014387.html,600-g-Packg. (1 kg = 6.65),"
			KNÜLLER
					",3.99 ,"aus der Oberschale,saftig und zart","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Rinderschmorbraten,https://kaufland.media.schwarz/is/image/schwarz/00054338b?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00054338.html,kg ,"
			-27%
					",9.99 ,"vom Jungbullen, aus der Keule, zart und saftig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Pfeffer-Rumpsteak,https://kaufland.media.schwarz/is/image/schwarz/00013131a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013131.html,kg (entspr. z. B. für eine 300-g-Packg. 3.89),,12.96 *,"vom Jungbullen, mind. 21 Tage gereift","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Rib-Eye-Steak,https://kaufland.media.schwarz/is/image/schwarz/00011968?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011968.html,je kg (entspr. z. B. für eine 300-g-Packg. 4.19),"
			KNÜLLER
					",13.96 ,"vom Jungbullen,mit Pfeffer-Paprika- oder Kräuternote","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
WESTFALENLAND Côte de Bœuf,https://kaufland.media.schwarz/is/image/schwarz/00013683?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013683.html,kg (entspr. z. B. für eine 500-g-Packg. 7.99),,15.98 *,"Hochrippe vom Rind, mit Knochen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Rinderspieße,https://kaufland.media.schwarz/is/image/schwarz/00014404?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014493.html,400-g-Packg. (1 kg = 14.98),"
			-14%
					",5.99 ,"mit Trüffel-Pfeffer-Würzung,zum Grillen und Braten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-FAVOURITES Amerik. Rinderhüftsteak,https://kaufland.media.schwarz/is/image/schwarz/00014262?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014262.html,kg (entspr. z. B. für eine 250-g-Packg. 5.99),,23.96 *,mind. 21 Tage gereift,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Puten-Grillies,https://kaufland.media.schwarz/is/image/schwarz/01146794?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01146794.html,300-g-Packg. (1 kg = 8.30),"
			-16%
					",2.49 ,"aus fein zerkleinertem Putenfleisch,mariniert, am Spieß","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Hähnchen-Geschnetzeltes,https://kaufland.media.schwarz/is/image/schwarz/01144876?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144876.html,400-g-Packg. (1 kg = 8.98),"
			KNÜLLER
					",3.59 ,aus dem Brustfilet,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
> Langsam wachsende Rasse > 100 % pflanzliches Futter > Fütterung ohne GentechnikNATURE & RESPECT Franz. Maishähnchen aus Freilandhaltung,https://kaufland.media.schwarz/is/image/schwarz/01381908?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01381908.html,"kg (entspr. z. B. für ein 1,3-kg-Stück 6.49)","
			-27%
					",4.99 ,"HKL A, grillfertig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
