product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,offer_duration,date
K-WERTSCHÄTZE Gewürzbraten,https://kaufland.media.schwarz/is/image/schwarz/01436650?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01436650.html,,100-g-Packg. (1 kg = 15.90),"
			-20%
					",1.59 ,"vom Stück geschnitten, umgerötet,geräuchert, Spitzenqualität","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-WERTSCHÄTZE Fleischwurst,https://kaufland.media.schwarz/is/image/schwarz/01436673?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01436673.html,,200-g-Packg. (1 kg = 9.45),"
			-17%
					",1.89 ,Spitzenqualität,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-FAVOURITES Poln. Krakauer,https://kaufland.media.schwarz/is/image/schwarz/01254747?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01254747.html,,80-g-Packg. (1 kg = 14.88),"
			-25%
					",1.19 ,geräuchert und getrocknet,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-CLASSIC Bierschinken oder Kräuterschinkenwurst,https://kaufland.media.schwarz/is/image/schwarz/00013143?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013143.html,,je 150-g-Packg. (1 kg = 7.40),"
			-13%
					",1.11 ,Spitzenqualität,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
Delikatess-Fleischkäse,https://kaufland.media.schwarz/is/image/schwarz/01131779FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01131779.html,,je 100 g ,"
			KNÜLLER
					",0.89 ,"grob, fein oder Pizza-Fleischkäse,ofengebacken","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
STEINHAUS Kasseler Leberwurst,https://kaufland.media.schwarz/is/image/schwarz/00126086FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00126086.html,,100 g ,"
			KNÜLLER
					",1.39 ,"im Ring, Naturdarm, mit grob zerstoßenen Gewürzenund Majoran verfeinert, mild über Buchenholzgeräuchert","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
ADLER Schwarzwürstle,https://kaufland.media.schwarz/is/image/schwarz/00124446FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00124446.html,,100 g ,"
			-28%
					",0.99 ,deftig lecker,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
Zungenwurst,https://kaufland.media.schwarz/is/image/schwarz/00013210FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013210.html,,100 g ,"
			KNÜLLER
					",1.49 ,herzhafte Kochwurst mit feiner Zungeneinlage,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
BERSCHNEIDER Nussschinken,https://kaufland.media.schwarz/is/image/schwarz/00100471FRb?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00100471.html,,100 g ,"
			KNÜLLER
					",1.69 ,mild gesalzen undgoldgelb geräuchert,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
Jamón Serrano,https://kaufland.media.schwarz/is/image/schwarz/00928416FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01059511.html,,100 g ,"
			KNÜLLER
					",1.99 ,"original span. Rohschinken, luftgetrocknet,mind. 12 Monate gereift, eine garantierttraditionelle Spezialität (g. t. S.)","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
