product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,offer_duration,date
SCHRÖDER Sülze im Ring,https://kaufland.media.schwarz/is/image/schwarz/00104590FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00104590.html,Keine Payback-Bedingung,100 g ,"
			-40%
					",1.19 ,"mit Schweinefleisch, herzhaft gewürzt undmit Kräutern abgerundet","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
LUITEN Rindsmettwurst,https://kaufland.media.schwarz/is/image/schwarz/01444062FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01444062.html,Keine Payback-Bedingung,125-g-Stück (1 kg = 17.76),"
			KNÜLLER
					",2.22 ,"100 % frisches Rindfleisch, mager","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
HOUDEK Kabanos Klassik,https://kaufland.media.schwarz/is/image/schwarz/00847410FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00847410.html,Keine Payback-Bedingung,100 g ,"
			-29%
					",1.69 ,feinwürzige Salami-Spezialität,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
NEGRONI Prosciutto Cotto Buonastella,https://kaufland.media.schwarz/is/image/schwarz/01251193FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01251193.html,Keine Payback-Bedingung,100 g ,"
			-20%
					",1.59 ,"ital. Kochschinken, zart und harmonischim Geschmack","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
ORIGINAL RADEBERGER Räucherling,https://kaufland.media.schwarz/is/image/schwarz/00106068FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00106068.html,Keine Payback-Bedingung,100 g ,"
			-33%
					",1.99 ,"zartes, geräuchertes Filet vom Schwein","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
Prosciutto di Parma DOP,https://kaufland.media.schwarz/is/image/schwarz/01253064FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01253064.html,Keine Payback-Bedingung,100 g ,"
			-35%
					",2.89 ,"ital. Rohschinken, mind. 12 Monatein der Provinz Parma gereift, fein-aromatisch","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
SCHULTE La Prima Edelsalami,https://kaufland.media.schwarz/is/image/schwarz/00120444FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00120444.html,Keine Payback-Bedingung,100 g ,"
			KNÜLLER
					",2.22 ,mit Rindfleisch,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND Schnelle Küche »Schnitzel Brie-Tomate«,https://kaufland.media.schwarz/is/image/schwarz/00013980?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013980.html,Keine Payback-Bedingung,500-g-Packg. (1 kg = 9.98),Kein Etikett,4.99 *,"aus dem Schweinerücken, auf Würzsauce,mit Weichkäse und Tomaten,zum Garen im Backofen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Schnelle Küche Geschnetzeltes »Waldeslust«,https://kaufland.media.schwarz/is/image/schwarz/00013788?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014356.html,Keine Payback-Bedingung,500-g-Packg. (1 kg = 6.58),Kein Etikett,3.29 *,"vom Schwein, mariniert, mit Champignons","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Schweinekotelett,https://kaufland.media.schwarz/is/image/schwarz/00012484f-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014377.html,Keine Payback-Bedingung,850-g-Packg. (1 kg = 5.52),"
			-21%
					",4.69 ,"geschnitten, zart und saftig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
