product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
MARKTLIEBE Avocado,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/12857660.png/jcr:content/12857660.png,,https://www.penny.de/angebote/highlights-der-woche/marktliebe-avocado,,je Stück,-50%,0.49,"Peru, Brasilien, Kolumbien, Sorte: Hass, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-06
Avocado,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/KW27_Avocado.png/jcr:content/KW27_Avocado.png,,https://www.penny.de/angebote/highlights-der-woche/avocado,,"Preis mit Coupon: 0.44 €, Preis ohne Coupon: 0.49 €, je Stück",App Coupon,0.44*,"Gültig vom 3.7.2023 bis 8.7.2023
• Peru, Brasilien, Kolumbien
• Sorte: Hass
• Klasse 1
• Preis mit Coupon: 0.44 €
• Preis ohne Coupon: 0.49 €
• Je Stück",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-06
GÉRAMONT Weichkäse,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/2435840.png/jcr:content/2435840.png,,https://www.penny.de/angebote/highlights-der-woche/geramont-weichkaese,,"je 200-g-Packung

								(1 kg = 9.95)",-39%,1.99,Verschiedene Sorten und Fettstufen,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-06
GÉRAMONT Käsescheiben,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/2435840_01.png/jcr:content/2435840_01.png,,https://www.penny.de/angebote/highlights-der-woche/geramont-kaesescheiben-,,"je 150-g-Packung

								(1 kg = 13.27)",-39%,1.99,"Natur, 60% Fett i. Tr.",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-06
JACOBS Kaffee*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/27576981.png/jcr:content/27576981.png,,https://www.penny.de/angebote/highlights-der-woche/jacobs-kaffee,,"je 500-g-Packung

								(1 kg = 7.98)",-36%,3.99,"Sorte, Meisterröstung nicht in allen Märkten erhältlich
Verschiedene Sorten, gemahlen",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-06
MARKTLIEBE Kernarme Wassermelone*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/11526170.png/jcr:content/11526170.png,,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-kernarme-wassermelone,,je kg,Aktion,0.99,"Die rote Farbe ihres Fruchtfleisches ist charakteristisch für Wassermelonen. Mit über 90% Wasseranteil sind sie der perfekte Durstlöscher an heißen Sommertagen.

Kernarm
Spanien, Italien, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-06
MARKTLIEBE Honigmelone,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/22615057.png/jcr:content/22615057.png,,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-honigmelone,,je Stück,-16%,2.49,"Wegen ihres süßen Geschmacks zählen Honigmelonen zu den beliebtesten Melonensorten.

Spanien, Marokko, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-06
MARKTLIEBE Galiamelone,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/22615050.png/jcr:content/22615050.png,,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-galiamelone,,je Stück,-20%,1.99,"Charakteristisch für Galiamelonen ist die gelbe Schale, die von einem feinmaschigen Netz überzogen ist. Schön gekühlt ist sie die optimale Dessertmelone.

Spanien, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-06
MARKTLIEBE Melone Piel de Sapo*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/14550530.png/jcr:content/14550530.png,,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-melone-piel-de-sapo,,je Stück,Aktion,2.49,"Futuromelonen, auch als Piel de Sapo bekannt, schmecken süß-aromatisch und sind zugleich knackig und erfrischend. Futuromelonen schmecken hervorragend als Beilage zu rohem Schinken.

Spanien, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-06
Süßkirschen*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/13543260.png/jcr:content/13543260.png,,https://www.penny.de/angebote/obst-und-gemuese/susskirschen,,"je 100 g

								(1 kg = 4.90)",Aktion,0.49,"Türkei, Griechenland, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-06
NATURGUT Bio Snackpaprika,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/KW27_Paprika.png/jcr:content/KW27_Paprika.png,,https://www.penny.de/angebote/obst-und-gemuese/naturgut-bio-snackpaprika,,"Preis mit Coupon: 1.29 €, Preis ohne Coupon: 1.79 €, je 150g-Packung",App Coupon,1.29*,"Gültig vom 3.7.2023 bis 8.7.2023
• Spanien
• Klasse 2
• Preis mit Coupon: 1.29 €
• Preis ohne Coupon: 1.79 €
• Je 150g-Packung
• Grundpreis mit App Coupon: 1kg = 8.60 €
• Grundpreis ohne App Coupon: 1kg = 11.93 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-06
"Rote Äpfel, Sorte s. Etikett",https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/KW27_Apfel.png/jcr:content/KW27_Apfel.png,,https://www.penny.de/angebote/obst-und-gemuese/rote-aepfel-sorte-s-etikett,,"Preis mit Coupon: 2.29 €, Preis ohne Coupon: 2.89 €, je 2kg-Netz",App Coupon,2.29*,"Gültig vom 3.7.2023 bis 8.7.2023
• Deutschland, Polen
• Klasse 2
• Preis mit Coupon: 2.29 €
• Preis ohne Coupon: 2.89 €
• Je 2kg-Netz
• Grundpreis mit App Coupon: 1kg = 1.15 €
• Grundpreis ohne App Coupon: 1kg = 1.45 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-06
