product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
LANGNESE Cremissimo,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/32177199.png0/jcr:content/32177199.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/langnese-cremissimo,No Payback Condition,"je 1.300 ml

								(1 Liter = 1.45)",-52%,1.88,"Bourbon Vanille, je 1.300 ml (1 Liter = 1.45) oder
Solero, je 900 ml (1 Liter = 2.09)",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-11,10.07. - 15.07.
LANGNESE Cremissimo,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/KW28_Cemissimo.png/jcr:content/KW28_Cemissimo.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/langnese-cremissimo1,No Payback Condition,"Preis mit Coupon: 1.77 €, Preis ohne Coupon: 1.88 €, je 850ml–1.300ml-Packung",App Coupon,1.77*,"Gültig vom 10.7.2023 bis 15.7.2023
Banana Peanut vegan
• Preis mit Coupon: 1.77 €
• Preis ohne Coupon: 1.88 €
• Je 850ml-Packung
• Grundpreis mit App Coupon: 1l = 2.08 €
• Grundpreis ohne App Coupon: 1l = 2.21 €
Stracciatella, Schokolade, Walnuss, Vanille vegan, Erdbeer Joghurt, Strawberry Cheesecake oder a la Solero
• Preis mit Coupon: 1.77 €
• Preis ohne Coupon: 1.88 €
• Je 900ml-Packung
• Grundpreis mit App Coupon: 1l = 1.97 €
• Grundpreis ohne App Coupon: 1l = 2.09 €
Vanille
• Preis mit Coupon: 1.77 €
• Preis ohne Coupon: 1.88 €
• Je 1.300ml-Packung
• Grundpreis mit App Coupon: 1l = 1.36 €
• Grundpreis ohne App Coupon: 1l = 1.45 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-11,10.07. - 15.07.
MÜHLENHOF Schweine-Schnitzel*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/37635221.png/jcr:content/37635221.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/muehlenhof-schweine-schnitzel,No Payback Condition,"je 800-g-Packung

								(1 kg = 7.49)",Aktion,5.99,"Aus der Oberschale, im Frischfleischregal, aus Haltungsform 2",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-11,10.07. - 15.07.
MARKTLIEBE Süßkirschen*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/13543260.png/jcr:content/13543260.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/marktliebe-suesskirschen,No Payback Condition,"je 1,5-kg-Kiste

								(1 kg = 3.33)",Aktion,4.99,"Türkei, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-11,10.07. - 15.07.
MELITTA Kaffee*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/21439610.png/jcr:content/21439610.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/melitta-kaffee,No Payback Condition,"je 500-g-Packung

								(1 kg = 8.98)",-40%,4.49,"Gemahlen, verschiedene Sorten",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-11,10.07. - 15.07.
MARKTLIEBE Mango*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/11526210.png/jcr:content/11526210.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-mango,No Payback Condition,je Stück,Aktion,0.79,"Faserarm
Elfenbeinküste, Costa Rica, Kolumbien, Sorte: Keitt, Kent, Palmer, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-11,10.07. - 15.07.
MARKTLIEBE Helle Tafeltrauben,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/24491068.png/jcr:content/24491068.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-helle-tafeltrauben,No Payback Condition,je kg,-40%,2.99,"Italien, Sorte: Victoria, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-11,10.07. - 15.07.
NATURGUT Bio-Limetten,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/11526350.png0/jcr:content/11526350.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/naturgut-bio-limetten,No Payback Condition,"je 300-g-Netz

								(1 kg = 3.33)",-44%,1.–,"Brasilien, Kolumbien, Mexiko, Kl. II",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-11,10.07. - 15.07.
NATURGUT Bio-Zwiebeln,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/31600732.png/jcr:content/31600732.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/naturgut-bio-zwiebeln,No Payback Condition,je 1-kg-Zellulosenetz,-20%,1.89,"Niederlande, Österreich",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-11,10.07. - 15.07.
NATURGUT Bio Snackgurken,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/KW28_Gurken.png/jcr:content/KW28_Gurken.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/naturgut-bio-snackgurken,No Payback Condition,"Preis mit Coupon: 1.29 €, Preis ohne Coupon: 1.69 €, je 250g-Schale",App Coupon,1.29*,"Gültig vom 10.7.2023 bis 15.7.2023
• Spanien
• Klasse 2
• Preis mit Coupon: 1.29 €
• Preis ohne Coupon: 1.69 €
• Je 250g-Schale
• Grundpreis mit App Coupon: 1kg = 5.16 €
• Grundpreis ohne App Coupon: 1kg = 6.76 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-11,10.07. - 15.07.
"MARKTLIEBE Pflaumen, Sorte s. Etikett",https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/KW28_Pflaumen.png/jcr:content/KW28_Pflaumen.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-pflaumen-sorte-s-etikett,No Payback Condition,"Preis mit Coupon: 1.99 €, Preis ohne Coupon: 2.49 €, je 500g-Schale",App Coupon,1.99*,"Gültig vom 10.7.2023 bis 15.7.2023
• Chile, Südafrika
• Klasse 1
• Preis mit Coupon: 1.99 €
• Preis ohne Coupon: 2.49 €
• Je 500g-Schale
• Grundpreis mit App Coupon: 1kg = 3.98 €
• Grundpreis ohne App Coupon: 1kg = 4.98 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-11,10.07. - 15.07.
