product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store
Magnum Double Starchaser,https://img.rewe-static.de/REWE_TZ26_2023/8902524/38597331-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8902524,,"je 255-ml-Pckg , (1 l = 7.80)",Knaller,"1,99 €","je 255-ml-Pckg , (1 l = 7.80)",Am Grünen Hag 2,Rewe
Langnese Cornetto Classico,https://img.rewe-static.de/REWE_TZ26_2023/8097223/29199944-12_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8097223,,"je 540-ml-Pckg , (1 l = 3.69)",Knaller,"1,99 €","je 540-ml-Pckg , (1 l = 3.69)",Am Grünen Hag 2,Rewe
Frico Gouda mittelalt,https://img.rewe-static.de/REWE_TZ26_2023/7033982/25939254-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7033982,,"holl. Schnittkäse, 48% Fett i.Tr. , je 100 g",Aktion,"0,99 €","holl. Schnittkäse, 48% Fett i.Tr. , je 100 g",Am Grünen Hag 2,Rewe
Steinhaus Krustenbraten,https://img.rewe-static.de/REWE_TZ26_2023/5309239/32884061-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#5309239,,"Haltungsform 2 , je 100 g",Aktion,"1,79 €","Haltungsform 2 , je 100 g",Am Grünen Hag 2,Rewe
Adelholzener Mineralwasser,https://img.rewe-static.de/REWE_TZ26_2023/1091800/31095757-5_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#1091800,,"versch. Sorten , je 12 x 0,75-l-Fl.-Kasten , (1 l = 0.67) , zzgl. 3.30 Pfand",Aktion,"5,99 €","versch. Sorten , je 12 x 0,75-l-Fl.-Kasten , (1 l = 0.67) , zzgl. 3.30 Pfand",Am Grünen Hag 2,Rewe
Honigtomaten,https://img.rewe-static.de/REWE_TZ26_2023/7257103/28004091-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7257103,,"Kl. Extra , je 180-g-Schale , (1 kg = 16.61)",Aktion,"2,99 €","Kl. Extra , je 180-g-Schale , (1 kg = 16.61)",Am Grünen Hag 2,Rewe
Eichbaum Helles,https://img.rewe-static.de/REWE_TZ26_2023/8589053/33516433-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8589053,,"je 20 x 0,5-l-Fl.-Kasten , (1 l = 1.55) , zzgl. 3.10 Pfand",Aktion,"15,49 €","je 20 x 0,5-l-Fl.-Kasten , (1 l = 1.55) , zzgl. 3.10 Pfand",Am Grünen Hag 2,Rewe
Heidelbeeren,https://img.rewe-static.de/REWE_TZ26_2023/7001164/33942208-1_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7001164,,"Kl. I , je 300-g-Schale , (1 kg = 9.30)",Aktion,"2,79 €","Kl. I , je 300-g-Schale , (1 kg = 9.30)",Am Grünen Hag 2,Rewe
Hackfleisch gemischt,https://img.rewe-static.de/REWE_TZ26_2023/2971127/31711832-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#2971127,,"vom Rind und Schwein , je 250-g-Pckg , (1 kg = 7.96)",Aktion,"1,99 €","vom Rind und Schwein , je 250-g-Pckg , (1 kg = 7.96)",Am Grünen Hag 2,Rewe
Frische Hähnchen-Grillplatte,https://img.rewe-static.de/REWE_TZ26_2023/2136476/23731572-12_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#2136476,,"mit Paprikawürzung, Haltungsform 2 , je 800-g-Pckg , (1 kg = 6.24)",Aktion,"4,99 €","mit Paprikawürzung, Haltungsform 2 , je 800-g-Pckg , (1 kg = 6.24)",Am Grünen Hag 2,Rewe
Wagner Die Backfrische Mozzarella,https://img.rewe-static.de/REWE_TZ26_2023/0878564/26347635-40_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#878564,,"tiefgefroren , je 350-g-Pckg , (1 kg = 5.06)",Knaller,"1,77 €","tiefgefroren , je 350-g-Pckg , (1 kg = 5.06)",Am Grünen Hag 2,Rewe
Wagner Big City Pizza Budapest,https://img.rewe-static.de/REWE_TZ26_2023/2670547/29010095-24_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#2670547,,"tiefgefroren , je 400-g-Pckg , (1 kg = 4.43)",Knaller,"1,77 €","tiefgefroren , je 400-g-Pckg , (1 kg = 4.43)",Am Grünen Hag 2,Rewe
Melitta Auslese Kaffee,https://img.rewe-static.de/REWE_TZ26_2023/0167266/21439610-46_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#167266,,"versch. Sorten, gemahlener Bohnenkaffee , je 500-g-Pckg , (1 kg = 7.98)",Knaller,"3,99 €","versch. Sorten, gemahlener Bohnenkaffee , je 500-g-Pckg , (1 kg = 7.98)",Am Grünen Hag 2,Rewe
"Coca-Cola*, Coca-Cola Zero*, Fanta oder Sprite Mischkasten",https://img.rewe-static.de/REWE_TZ26_2023/8002614/29216131-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8002614,,"versch. Sorten, *koffeinhaltig , je 12 x 1-l-Fl.-Kasten , (1 l = 0.79) , zzgl. 3.30 Pfand",Knaller,"9,49 €","versch. Sorten, *koffeinhaltig , je 12 x 1-l-Fl.-Kasten , (1 l = 0.79) , zzgl. 3.30 Pfand",Am Grünen Hag 2,Rewe
Knorr Fix Lasagne,https://img.rewe-static.de/REWE26_2023/8356711/30278541-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8356711,,"je 52-g-Btl , (1 kg = 8.46)",Knaller,"0,44 €","je 52-g-Btl , (1 kg = 8.46)",Am Grünen Hag 2,Rewe
Knorr Fix Lachs-Sahne Gratin,https://img.rewe-static.de/REWE26_2023/1014514/9696820-41_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#1014514,,"je 28-g-Btl , (1 kg = 15.71)",Knaller,"0,44 €","je 28-g-Btl , (1 kg = 15.71)",Am Grünen Hag 2,Rewe
Müller Müllermilch,https://img.rewe-static.de/REWE_TZ26_2023/3529711/38713706-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#3529711,,"Schoko , je 400-ml-Fl , (1 l = 1.98)",Aktion,"0,79 €","Schoko , je 400-ml-Fl , (1 l = 1.98)",Am Grünen Hag 2,Rewe
Aperol Aperitif Bitter,https://img.rewe-static.de/REWE26_2023/8423910/33547291-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8423910,,"11% Vol. , je 0,7-l-Fl , (1 l = 14.27)",Knaller,"9,99 €","11% Vol. , je 0,7-l-Fl , (1 l = 14.27)",Am Grünen Hag 2,Rewe
Feodora Schokolade,https://img.rewe-static.de/REWE26_2023/3613127/23795877-24_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#3613127,,"Vollmilch , je 100-g-Tafel , (1 kg = 10.00)",Aktion,"1,00 €","Vollmilch , je 100-g-Tafel , (1 kg = 10.00)",Am Grünen Hag 2,Rewe
Knorr activ Veggie Penne mit Broccoli,https://img.rewe-static.de/REWE26_2023/8777017/36243708-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8777017,,"je 146-g-Btl , (1 kg = 6.85)",Aktion,"1,00 €","je 146-g-Btl , (1 kg = 6.85)",Am Grünen Hag 2,Rewe
Heinz Sauce,https://img.rewe-static.de/REWE26_2023/0332369/6896160-62_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#332369,,"versch. Sorten , je 220-ml-Fl , (1 l = 4.55)",Aktion,"1,00 €","versch. Sorten , je 220-ml-Fl , (1 l = 4.55)",Am Grünen Hag 2,Rewe
Ehrmann Almighurt,https://img.rewe-static.de/REWE26_2023/5881480/1440570-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#5881480,,"versch. Sorten , je 500-g-Glas , (1 kg = 2.00) , zzgl. 0.15 Pfand",Aktion,"1,00 €","versch. Sorten , je 500-g-Glas , (1 kg = 2.00) , zzgl. 0.15 Pfand",Am Grünen Hag 2,Rewe
