product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
Original Wagner Steinofen Pizza Salami,https://img.rewe-static.de/REWE_TZ27_2023/7032776/33510569-12_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#7032776,,"tiefgefroren , je 320-g-Pckg , (1 kg = 4.66)",Knaller,"1,49 €","tiefgefroren , je 320-g-Pckg , (1 kg = 4.66)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Leerdammer Käsescheiben,https://img.rewe-static.de/REWE_TZ27_2023/8849689/39009775-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#8849689,,"versch. Sorten , je 140-g-Pckg , (1 kg = 9.93)",Knaller,"1,39 €","versch. Sorten , je 140-g-Pckg , (1 kg = 9.93)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Jacobs Krönung,https://img.rewe-static.de/REWE_TZ27_2023/5175232/21506323-53_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#5175232,,"gemahlener Bohnenkaffee, versch. Sorten , je 500-g-Pckg , (1 kg = 8.88)",Knaller,"4,44 €","gemahlener Bohnenkaffee, versch. Sorten , je 500-g-Pckg , (1 kg = 8.88)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Senseo Kaffeepads Classic,https://img.rewe-static.de/REWE_TZ27_2023/1056372/22943110-31_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#1056372,,"je 111-g-Btl , (1 kg = 16.13)",Knaller,"1,79 €","je 111-g-Btl , (1 kg = 16.13)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Zewa Wisch & Weg Original,https://img.rewe-static.de/REWE_TZ27_2023/7282457/27904441-32_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#7282457,,je 4 x 45-Blatt-Pckg,Knaller,"2,49 €",je 4 x 45-Blatt-Pckg,Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Delverde Pasta,https://img.rewe-static.de/REWE_TZ27_2023/8925470/33309163-27_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#8925470,,"versch. Ausformungen , je 500-g-Pckg , (1 kg = 1.98)",Aktion,"0,99 €","versch. Ausformungen , je 500-g-Pckg , (1 kg = 1.98)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Patros Natur,https://img.rewe-static.de/REWE_TZ27_2023/7004174/26271262-18_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#7004174,,"Weichkäse , je 180-g-Pckg , (1 kg = 9.39)",Aktion,"1,69 €","Weichkäse , je 180-g-Pckg , (1 kg = 9.39)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Westland Old Amsterdam,https://img.rewe-static.de/REWE_TZ27_2023/7999917/23619550-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#7999917,,"holl. Hartkäse, 48% Fett i.Tr. , je 100 g",Aktion,"1,59 €","holl. Hartkäse, 48% Fett i.Tr. , je 100 g",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Mumm Jahrgangssekt,https://img.rewe-static.de/REWE_TZ27_2023/0416754/31069961-37_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#416754,,"versch. Sorten , je 0,75-l-Fl , (1 l = 5.32)",Aktion,"3,99 €","versch. Sorten , je 0,75-l-Fl , (1 l = 5.32)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
"Coca-Cola, Fanta oder Sprite",https://img.rewe-static.de/REWE_TZ27_2023/6730531/7336700-21_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#6730531,,"versch. Sorten, teilw, koffeinhaltig , je 1,5-l-Fl , (1 l = 0.66) , zzgl. 0.25 Pfand",Aktion,"0,99 €","versch. Sorten, teilw, koffeinhaltig , je 1,5-l-Fl , (1 l = 0.66) , zzgl. 0.25 Pfand",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Jim Beam Kentucky Straight Bourbon Whiskey,https://img.rewe-static.de/REWE_TZ27_2023/0199257/27692928-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#199257,,"40% Vol. oder Honey 32,5% Vol. , je 0,7-l-Fl , (1 l = 15.70)",Aktion,"10,99 €","40% Vol. oder Honey 32,5% Vol. , je 0,7-l-Fl , (1 l = 15.70)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Langewiesche Butterschinken,https://img.rewe-static.de/REWE_TZ27_2023/0853347/22258331-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#853347,,je 100 g,Aktion,"1,79 €",je 100 g,Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Red Bull Energy Drink,https://img.rewe-static.de/REWE_TZ27_2023/2201429/3209700-53_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#2201429,,"versch. Sorten, koffeinhaltig , je 0,25-l-Dose , (1 l = 3.40) , zzgl. 0.25 Pfand",Aktion,"0,85 €","versch. Sorten, koffeinhaltig , je 0,25-l-Dose , (1 l = 3.40) , zzgl. 0.25 Pfand",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
Ben & Jerry’s Ice Cream,https://img.rewe-static.de/REWE_TZ27_2023/8422570/30682146-12_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg/840442/rewe-markt-am-gruenen-hag-2/?icid=marktseiten_rewe-de%3Amarktseite-840442_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn/#8422570,,"versch. Sorten , je 465-ml-Becher , (1 l = 10.73)",Aktion,"4,99 €","versch. Sorten , je 465-ml-Becher , (1 l = 10.73)",Am Grünen Hag 2,Rewe,Topangebote,2023-07-07
