product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Barilla Pasta,https://img.rewe-static.de/REWE_TZ28_2023/6653839/20768970-25_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=6653839,Keine Payback-Bedingung,"versch. Ausformungen , je 500-g-Pckg , (1 kg = 1.90)",Knaller,"0,95 €","ProduktbeschreibungArtikelnummer 6653839Fusilli erschienen in ihrer heutigen Form zuerst in Süditalien und sind ursprünglich der Idee entsprungen, Spaghetti auf einer Stricknadel aufzuwickeln. Erst später, bedingt durch die unterschiedlichen geschmacklichen Gewohnheiten in den verschiedenen italienischen Regionen, entstanden Fusilli als eigenständige Sorte. Im Rahmen des Sortiments von Barilla - Italiens beliebtester Pasta - wurde die Pastasorte Fusilli neu interpretiert und erhielt ihre charakteristische Spiralform, die für die Tradition von Mittel- und Norditalien typisch ist.... mehr anzeigenZutaten & AllergeneZutaten: HARTWEIZENGRIESS, Wasser. Kann Spuren von Sojabohnen enthalten.Allergenhinweise: Enthält: Weizen und Weizenerzeugnisse (glutenhaltiges Getreide). Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse. Kann enthalten: Soja und Sojaerzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.521 kJEnergie359 kcalFett2 gFett, davon gesättigte Fettsäuren0,5 gKohlenhydrate71,2 gKohlenhydrate, davon Zucker3,5 gBallaststoffe3 gEiweiß12,5 gSalz0,013 gHinweiseAufbewahrungs- und Verwendungshinweis: Trocken und vor Wärme geschützt lagern.ArtikeldetailsMarke: BarillaUrsprungsland: ItalienKontaktKontaktname: Barilla G. e R. Fratelli - Società per AzioniKontaktadresse: Via Mantova 166, Parma - ItalyFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Dr. Oetker Ristorante Pizza Salame,https://img.rewe-static.de/REWE_TZ28_2023/8704774/34878457-20_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=8704774,Keine Payback-Bedingung,"tiefgefroren , je 320-g-Pckg , (1 kg = 6.22)",Knaller,"1,99 €","ProduktbeschreibungArtikelnummer 8704774Dr. Oetker Ristorante Pizza Salame ist belegt mit sonnengereiften Tomaten, Käse, herzhafter Salami, ausgesuchten Kräutern und Gewürzen.Zubereitung:Bis zur Zubereitung gefroren aufbewahren.Backofen vorheizen: Ober-/Unterhitze: 220°C, Heißluft: 200°C, Gas: 4Folie entfernen, Pizza auf den Rost legen und auf mittlerer Einschubleiste 10-12 Minuten backen.Stelle sicher, dass das Produkt vor dem Verzehr vollständig durcherhitzt ist. Man kann die ""Ristorante Pizza Salame"" genießen, sobald der Käse geschmolzen ist.Zutaten & AllergeneZutaten: WEIZENMEHL, 14% passierte Tomaten, 12% schnittfester MOZZARELLA KÄSE, 12% Salami (Schweinefleisch, Speck, Salz, Gewürze, Dextrose, Zwiebelpulver, Knoblauchpulver, Gewürzextrakte, Stabilisator (Natriumnitrit), Antioxidationsmittel (Extrakt aus Rosmarin), Rauch), Wasser, 7,3% Tomatenkonzentrat, 4,6% EDAMER KÄSE, Rapsöl, Backhefe, Salz, Zucker, Olivenöl nativ extra, Oregano, Basilikum, Pfeffer, Paprika, Petersilie. Kann enthalten: SOJA, SENF.Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose). Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse. Weizen und Weizenerzeugnisse (glutenhaltiges Getreide). Kann enthalten: Soja und Sojaerzeugnisse. Gerste und Gerstenerzeugnisse (glutenhaltiges Getreide). Roggen und Roggenerzeugnisse (glutenhaltiges Getreide). Dinkel und Dinkelerzeugnisse (glutenhaltiges Getreide). Hafer und Hafererzeugnisse (glutenhaltiges Getreide). Senf- und Senferzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.093 kJEnergie261 kcalFett13 gFett, davon gesättigte Fettsäuren4,6 gKohlenhydrate25 gKohlenhydrate, davon Zucker2,9 gBallaststoffe2,3 gEiweiß10 gSalz1,3 gHinweiseAufbewahrungs- und Verwendungshinweis: Nach dem Auftauen nicht wieder einfrieren. Bei -18 °C lagern (***-Fach oder Tiefkühltruhe).ArtikeldetailsMarke: Dr. OetkerUrsprungsland: DeutschlandKontaktKontaktname: DR. AUGUST OETKER NAHRUNGSMITTEL KGKontaktadresse: Lutterstraße 14 - 33617 BielefeldMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Milka Schokolade,https://img.rewe-static.de/REWE_TZ28_2023/0196479/3851190-69_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=196479,Keine Payback-Bedingung,"Alpenmilch oder Noisette , je 100-g-Tafel , (1 kg = 7.90)",Knaller,"0,79 €","ProduktbeschreibungArtikelnummer 196479Milkas Alpenmilch Schokoladentafel ist der Klassiker für alle Schokoladen-Fans. Der leckere, zartschmelzende Schokoladengenuss aus 100% Alpenmilch darf in keinem Haushalt fehlen. Zutaten & AllergeneZutaten: Zucker, Kakaobutter, Kakaomasse, MAGERMILCHPULVER, Süssmolkenpulver (aus MILCH), BUTTERREINFETT, Emulgator (SOJALECITHINE), HASELNUSSMASSE, Aroma. KANN ANDERE NÜSSE UND WEIZEN ENTHALTEN.Allergenhinweise: MAGERMILCHPULVER, MILCH, BUTTERREINFETT, SOJALECITHINE, HASELNUSSMASSEEnthält: Soja und Sojaerzeugnisse. Haselnuss und Haselnusserzeugnisse. Milch und Milcherzeugnisse (einschließlich Lactose). Nüsse und Nusserzeugnisse. Kann enthalten: Weizen und Weizenerzeugnisse (glutenhaltiges Getreide). Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie2.251 kJEnergie539 kcalFett31 gFett, davon gesättigte Fettsäuren19 gKohlenhydrate57 gKohlenhydrate, davon Zucker55 gBallaststoffe2,3 gEiweiß6,5 gSalz0,28 gHinweiseAufbewahrungs- und Verwendungshinweis: Trocken lagern und vor Wärme schützen.Information: Kakao: 33% mindestens.ArtikeldetailsMarke: MilkaUrsprungsland: DeutschlandSorte: AlpenmilchKontaktKontaktname: Mondelez Deutschland GmbHKontaktadresse: D-28078 BremenMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Lavazza Caffè Crema Classico,https://img.rewe-static.de/REWE_TZ28_2023/3600483/26263099-19_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=3600483,Keine Payback-Bedingung,"ganze Bohnen , je 1000-g-Btl",Knaller,"9,99 €","ProduktbeschreibungArtikelnummer 3600483Mit der jahrelangen Expertise und der Leidenschaft von Lavazza werden würzige Arabica-Bohnen und milde Robusta-Bohnen ausgewählt, um einen Caffè Crema Classico mit kräftigem Aroma von Trockenfrüchten, rundem Körper und mildem Geschmack zu kreieren. HinweiseAufbewahrungs- und Verwendungshinweis: trocken lagern.ArtikeldetailsMarke: LavazzaUrsprungsland: ItalienSorte: Caffè Crema ClassicoKontaktKontaktname: LUIGI LAVAZZA S.p.A.Kontaktadresse: C. SO NOVARA, 59- 10154 TORINO - ITALIAMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Pepsi,https://img.rewe-static.de/REWE_TZ28_2023/8541362/32711974-34_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=8541362,Keine Payback-Bedingung,"versch. Sorten, koffeinhaltig , je 1,5-l-Fl , (1 l = 0.66) , zzgl. 0.25 Pfand",Knaller,"0,99 €","ProduktbeschreibungArtikelnummer 8541362Zutaten & AllergeneZutaten: Wasser, Zucker, Kohlensäure, Farbstoff E 150d, Säuerungsmittel Phosphorsäure, Aroma, Süßungsmittel (Acesulfam K, Sucralose), Aroma Koffein.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 mlEnergie120 kJEnergie28 kcalFett0 gFett, davon gesättigte Fettsäuren0 gKohlenhydrate7 gKohlenhydrate, davon Zucker7 gEiweiß0 gSalz< 0,01 gHinweiseAufbewahrungs- und Verwendungshinweis: Mindestens haltbar bis: Siehe Flaschenhals.ArtikeldetailsMarke: PepsiNettofüllmenge: 1,5 LUrsprungsland: DeutschlandKontaktKontaktname: PepsiCo Deutschland GmbHKontaktadresse: D-63263 Neu-IsenburgMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Warsteiner Pils,https://img.rewe-static.de/REWE_TZ28_2023/4665945/27706345-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=4665945,Keine Payback-Bedingung,"je 20 x 0,5-l-Fl.-Kasten , (1 l = 1.10) , zzgl. 3.10 Pfand",Knaller,"10,99 €","Bestellung ab 18 Jahren.Für dieses Produkt gilt das Jugendschutzgesetz.ProduktbeschreibungArtikelnummer 4665945Mit über 260-jähriger Brautradition entsteht dieses eiskalt filtrierte internationale Pilsener der Premium-Klasse in der WARSTEINER Privatbrauerei. Der besonders hohe Anspruch an Qualität und Geschmack beginnt bereits bei der Auswahl von besonders weichem Brauwasser, Hopfen aus der Hallertau und feinstem Sommergerstenmalz.Zutaten & AllergeneZutaten: Brauwasser, GERSTENMALZ, Hopfen, HopfenextraktNährwerteDurchschnittliche NährwerteUnzubereitet pro 100 mlEnergie175 kJEnergie42 kcalFett0 gFett, davon gesättigte Fettsäuren0 gKohlenhydrate3,5 gKohlenhydrate, davon Zucker0 gEiweiß0,5 gSalz0 gArtikeldetailsMarke: WarsteinerAlkoholgehalt: 4,8 % Vol.Packungsgröße: 0,5lx20KontaktKontaktname: Warsteiner Brauerei Haus Cramer KGKontaktadresse: 59564 Warstein / DeutschlandMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Mövenpick Stracciatella Classico,https://img.rewe-static.de/REWE_TZ28_2023/8725654/35463369-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=8725654,Keine Payback-Bedingung,"je 900-ml-Becher , (1 l = 2.21)",Aktion,"1,99 €","ProduktbeschreibungArtikelnummer 8725654Cremiges Eis mit Stracciatellageschmack mit Schokoladenstückchen und einer Schokoladensauce.Zutaten & AllergeneZutaten: Entrahmte MILCH, MOLKENERZEUGNIS, Glukosesirup, Zucker, Kokosfett, Sojaöl, VOLLMILCHPULVER, fettarmer Kakao** (1,3 %), Kakaobutter**, Kakaomasse**, Emulgatoren (Mono- und Diglyceride von Speisefettsäuren, Lecithine (SOJA)), Verdickungsmittel (Johannisbrotkernmehl, Guarkernmehl), natürliche Aromen (enthalten MILCH), Aroma. **Rainforest Alliance-zertifiziert. Mehr Informationen unter ra.org. KANN SCHALENFRÜCHTE, GLUTENHALTIGE GETREIDE UND EIER ENTHALTEN. Wichtig: Kleinkinder (unter 4 Jahren) verfügen über eine verminderte Kaufähigkeit und könnten sich an kleinen Stückchen verschlucken.Allergenhinweise: Milch, Molkenerzeugnis, Schlagsahne, SojaEnthält: Milch und Milcherzeugnisse (einschließlich Lactose). Soja und Sojaerzeugnisse. Kann enthalten: Eier und Eierzeugnisse. Nüsse und Nusserzeugnisse. Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.079 kJEnergie258 kcalFett15 gFett, davon gesättigte Fettsäuren9,9 gKohlenhydrate28 gKohlenhydrate, davon Zucker23 gBallaststoffe0,7 gEiweiß2,9 gSalz0,09 gHinweiseAufbewahrungs- und Verwendungshinweis: Bei -18 °C mindestens haltbar bis Ende: siehe VerpackungsaufdruckInformation: Wichtig: Kleinkinder (unter 4 Jahren) verfügen über eine verminderte Kaufähigkeit und könnten sich an kleinen Stückchen verschlucken. Packung enthält 9 Portionen. Portionen sollten für Kinder entsprechend ihrem Alter angepasst werden.ArtikeldetailsMarke: MövenpickUrsprungsland: DeutschlandKontaktKontaktname: FRONERI Schöller GmbHKontaktadresse: D-90419 NürnbergMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Salakis Schafskäse Natur,https://img.rewe-static.de/REWE_TZ28_2023/8874226/37882307-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=8874226,Keine Payback-Bedingung,"je 180-g-Pckg , (1 kg = 9.94)",Aktion,"1,79 €","ProduktbeschreibungArtikelnummer 8874226Zutaten & AllergeneZutaten: pasteurisierte SchafMILCH, Lab, SalzAllergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.126 kJEnergie272 kcalFett23 gFett, davon gesättigte Fettsäuren16 gKohlenhydrate0,8 gKohlenhydrate, davon Zucker0,8 gEiweiß16 gSalz2,8 gHinweiseAufbewahrungs- und Verwendungshinweis: bei 8°C mindestens haltbar bis: siehe Verpackungsaufdruck: tt.mm.jjjjArtikeldetailsMarke: SalakisNettofüllmenge: 180 GUrsprungsland: FrankreichKontaktKontaktname: Lactalis Deutschland GmbHKontaktadresse: Am Yachthafen 2, 77694 KehlMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Barilla Pesto alla Genovese,https://img.rewe-static.de/REWE_TZ28_2023/4840313/35802412-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=4840313,Keine Payback-Bedingung,"je 190-g-Glas , (1 kg = 10.47)",Aktion,"1,99 €","ProduktbeschreibungArtikelnummer 4840313Zutaten & AllergeneZutaten: pflanzliche Öle (Olive, Sonnenblume), frisches Basilikum 30%, CASHEWKERNE, Parmigiano Reggiano g.U. Käse 5% (MILCH), Maisfaser, Molkepulver (MILCH), Salz, MILCHeiweiss, natives Olivenöl extra, Zucker, Basilikumextrakt, natürliche Aromen (MILCH), Säureregulator: Milchsäure, Knoblauch. Kann Spuren von anderen Schalenfrüchten (Hartschalenobst) enthalten.Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose). Nüsse und Nusserzeugnisse. Kaschunuss und Kaschunusserzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.989 kJEnergie482 kcalFett46 gFett, davon gesättigte Fettsäuren7,1 gKohlenhydrate9,8 gKohlenhydrate, davon Zucker5,5 gBallaststoffe5 gEiweiß4,7 gSalz3,25 gHinweiseAufbewahrungs- und Verwendungshinweis: Nach dem Öffnen gekühlt 5 Tage haltbar.ArtikeldetailsMarke: BarillaUrsprungsland: ItalienKontaktKontaktname: Barilla G. e R. Fratelli S.p.A.Kontaktadresse: Via Mantova 166, Parma - ItalyMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
Weihenstephan Butter oder die Streichzarte,https://img.rewe-static.de/REWE_TZ28_2023/5005051/24074982-44_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Keine Payback-Punkte,https://shop.rewe.de/productList?search=5005051,Keine Payback-Bedingung,"versch. Sorten , je 250-g-Pckg , (1 kg = 6.36)",Aktion,"1,59 €","ProduktbeschreibungArtikelnummer 5005051Zutaten & AllergeneAllergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie3.074 kJEnergie747 kcalFett82 gFett, davon gesättigte Fettsäuren55 gKohlenhydrate1 gKohlenhydrate, davon Zucker1 gEiweiß0,6 gSalz0,04 gHinweiseAufbewahrungs- und Verwendungshinweis: Bei maximal +8 °C mindestens haltbar bis: siehe Verpackungsaufdruck.ArtikeldetailsMarke: WeihenstephanUrsprungsland: DeutschlandKontaktKontaktname: Molkerei Weihenstephan GmbH & Co. KGKontaktadresse: Milchstr. 1, D-85354 FreisingMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.","REWE Sahin Karaaslan GmbH & Co. KG, Furtwanglerstr. 15, 69121 Heidelberg",Rewe,Topangebote,2023-07-12,"Gültig diese Woche bis Samstag, 15.07.2023"
