product_information,product_id
"Zutaten: WEIZENMEHL, zerkleinerte Schältomaten (25%), schnittfester MOZZARELLA (17%), Salami (12%) (Schweinefleisch, Salz, Konservierungsstoff: Natriumnitrit, Dextrose, Maltodextrin, Antioxidationsmittel: Extrakt aus Rosmarin, Natriumascorbat; Gewürze [enthält SENF], Gewürzextrakte, Rauch), Wasser, Rapsöl, Hefe, Zucker, Kräuter und Gewürze, WEIZENSAUERTEIG getrocknet, Salz. Kann enthalten: EI, FISCH, LUPINE, SELLERIE und SOJA.Allergenhinweise: Weizenmehl, Mozzarella, Senf, Weizensauerteig",7032776
"Zutaten: pasteurisierte MILCH, Speisesalz, Milchsäurebakterien (MILCH), mikrobielles Lab.Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).",8849689
Allergenhinweise: Enthält: Keine deklarationspflichtigen Allergene enthalten.,5175232
Allergenhinweise: Enthält: Keine deklarationspflichtigen Allergene enthalten.,1056372
Marke: ZewaUrsprungsland: Deutschland,7282457
Zutaten: HARTWEIZENGRIESSAllergenhinweise: Enthält: Weizen und Weizenerzeugnisse (glutenhaltiges Getreide). Kann enthalten: Soja und Sojaerzeugnisse.,8925470
Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).,7004174
Allergenhinweise: null,7999917
Zutaten: enthält SulfiteAllergenhinweise: Enthält: Schwefeldioxid und Sulfite.,416754
"Zutaten: Wasser, Zucker, Orangensaft aus Orangensaftkonzentrat, Kohlensäure, Säuerungsmittel Citronensäure, Citrusextrakt, natürliches Orangenaroma mit anderen natürlichen Aromen, Antioxidationsmittel Ascorbinsäure, Farbstoff Carotine, Stabilisator Guarkernmehl",6730531
Durchschnittliche NährwerteUnzubereitet pro 100 mlEnergie925 kJEnergie221 kcal,199257
"Zutaten: Schweinefleisch*, Nitritpökelsalz (Kochsalz, Konservierungsstoff Natriumnitrit), Glukosesirup, Stabilisator (Diphosphat), Antioxidationsmittel (Natriumascorbat), Gewürzextrakte, Aroma, laktosefreie Butter 1%.Allergenhinweise: Milch in der Butter, jedoch laktosefreiEnthält: Milch und Milcherzeugnisse (einschließlich Lactose).",853347
"ProduktbeschreibungArtikelnummer 7032776Original Wagner Steinofen Pizza Salami – mit leckerem Knusperrand und Knusperboden! 
 
Probiere unsere beliebte Steinofen Pizza und überzeuge Dich selbst vom leckeren Knusperrand und dem neuen dünnen Knusperboden, belegt mit herzhaft-saftigen Zutaten: Der Teig unserer Steinofen Pizza wird knusprig-kross im Original Wagner Steinofen vorgebacken und anschließend mit köstlichen Zutaten belegt. Die perfekt abgestimmte Zutatenkombination der Steinofen Pizza Salami mit leckerem Mozzarella und naturgereifter Edelsalami sorgt für einen echten Genuss. Die Backzeit unserer Steinofen Pizza Salami beträgt ca. 11-13 Minuten! 
- Wagner Pizza belegt mit leckerem Mozzarella und naturgereifter Edelsalami auf einer Tomatensauce aus sonnengereiften mediterranen Tomaten 
- Knusperdünner Pizzaboden mit leckerem Knusperrand und Knusperboden 
- Tiefkühlpizza vorgebacken im Original Wagner Steinofen 
- Steinofen Pizza Salami erreicht den Nutri-Score C 
- Große Sortenvielfalt für jeden Geschmack 
 
Ob alleine oder mit Freunden und Familie, bei der großen Vielfalt unserer Pizzasorten ist für jeden Geschmack etwas dabei. Einmal Wagner - immer Wagner. 
 
Nachhaltigkeit und Qualität von Wagner Pizza 
Bereits 1973 stellte Ernst Wagner mit viel Liebe seine erste Pizza her. Diese lange Pizzabäcker-Tradition kannst Du mit jedem Bissen schmecken, denn wir bei Original Wagner legen seit jeher großen Wert auf natürlichen, echten Geschmack und beste Zutaten. Dafür stehen wir mit unserem Qualitätsversprechen Echt Wagner. Daher setzen wir bspw. nur 100% echten Käse und hochwertige Wurstwaren sowie Msc/Asc zertifizierten Fisch ein und verarbeiten sonnengereifte mediterrane Freilandtomaten. Mit unseren Partner arbeiten wir, unter Förderung der Biodiversität, gemeinsam an nachhaltigem Tomatenanbau. Außerdem achten wir bei all unseren Verpackungsmaterialien auf eine hohe Recyclingfähigkeit, so besteht unsere Faltschachtel bereits aus mindestens 90% recyceltem Material und ist zu 99% recyclebar. Die Plastikfolie, die unsere Pizza umgibt ist zu 100% recyclebar. 
 
Auf unserem Produkt ist der Nutri-Score angegeben. Der Nutri-Score wurde von unabhängigen Expertengremien entwickelt, um die Nährwertqualität von Lebensmitteln innerhalb einer Kategorie zu vergleichen; bei diesem Produkt auf Grundlage von 100g. 
 
Mit Original Wagner Pizza erlebst du echte Momente voller Genuss – perfekt für jede Gelegenheit. Einmal Wagner - immer Wagner.... mehr anzeigenBei unserem Original Wagner Steinofen Backverfahren bringen wir die Teigbällchen auf einem Backblech in Form und backen die Pizza dann im Backblech in unserem Steinofen bei hoher Temperatur vor.
So wird der Boden außen besonders knusprig und bleibt innen herrlich saftig.Zutaten & AllergeneZutaten: WEIZENMEHL, zerkleinerte Schältomaten (25%), schnittfester MOZZARELLA (17%), Salami (12%) (Schweinefleisch, Salz, Konservierungsstoff: Natriumnitrit, Dextrose, Maltodextrin, Antioxidationsmittel: Extrakt aus Rosmarin, Natriumascorbat; Gewürze [enthält SENF], Gewürzextrakte, Rauch), Wasser, Rapsöl, Hefe, Zucker, Kräuter und Gewürze, WEIZENSAUERTEIG getrocknet, Salz. Kann enthalten: EI, FISCH, LUPINE, SELLERIE und SOJA.Allergenhinweise: Weizenmehl, Mozzarella, Senf, WeizensauerteigNährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.045 kJEnergie249 kcalFett10,4 gFett, davon gesättigte Fettsäuren4,2 gKohlenhydrate27 gKohlenhydrate, davon Zucker3,9 gBallaststoffe2,1 gEiweiß10,9 gSalz1,2 gHinweiseAufbewahrungs- und Verwendungshinweis: Bei -18°C (***Fach oder Tiefkühltruhe) mindestens haltbar bis Ende: siehe SeitenlascheInformation: Nach dem Auftauen nicht wieder einfrieren.ArtikeldetailsMarke: Original WagnerUrsprungsland: DeutschlandSorte: SalamiKontaktKontaktname: Nestlé Wagner GmbHKontaktadresse: In den Schemeln 4D-66620 NonnweilerMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",7032776
"ProduktbeschreibungArtikelnummer 8849689Der Klassiker: typisch mild-nussiger LEERDAMMER® Geschmack; laktosefrei (Gehalt an Laktose < 0,1 g/100 g), ohne Gentechnik, in der wiederverschließbaren Click-Verpackung.Zutaten & AllergeneZutaten: pasteurisierte MILCH, Speisesalz, Milchsäurebakterien (MILCH), mikrobielles Lab.Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.460 kJEnergie352 kcalFett27,5 gFett, davon gesättigte Fettsäuren18,5 gKohlenhydrate< 0,1 gKohlenhydrate, davon Zucker< 0,1 gEiweiß26 gSalz1,5 gCalcium860 mgHinweiseAufbewahrungs- und Verwendungshinweis: Bei +4°C - +8°C mindestens haltbar bis: siehe VerpackungsaufdruckInformation: Gehalt an Laktose < 0,1 g/100 gUnter Schutzatmosphäre verpackt.ArtikeldetailsMarke: LeerdammerUrsprungsland: NiederlandeKontaktKontaktname: Royal Lactalis Leerdammer B.V.Kontaktadresse: PO Box 1306, 4145 ZG Schoonrewoerd, The Netherlands/NiederlandeMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",8849689
"ProduktbeschreibungArtikelnummer 5175232Seit mehr als 50 Jahren präsentiert sich Jacobs Krönung als einer der beliebtesten Kaffees der Deutschen und begeistert die Genießer durch das unnachahmliche Verwöhnaroma. Zutaten & AllergeneAllergenhinweise: Enthält: Keine deklarationspflichtigen Allergene enthalten.HinweiseAufbewahrungs- und Verwendungshinweis: Trocken und kühl lagern.ArtikeldetailsMarke: JacobsUrsprungsland: DeutschlandKontaktKontaktname: JACOBS DOUWE EGBERTSKontaktadresse: Oosterdoksstraat 80, 1011 DK Amsterdam, The NetherlandsMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",5175232
