,product_information,product_id
98,"ProduktbeschreibungArtikelnummer 16436Frisch für dich aus unserer Servicetheke. 
 
Zutaten: Schweinefleisch, Speck, Salz, Zucker, Saccharose, LAKTOSE, Gewürze, Antioxidationsmittel: E 301, Konservierungsstoff: E250, E252. 
 
Nährwerte je 100g: 
Energie: 1547kJ 
Energie: 370kcal 
Fett: 28,5g 
Fett. davon gesättigt: 0,0g 
Kohlenhydrate: 1,1g 
Kohlenhydrate, davon Zucker: 0,0g 
Einweiß: 27,3g 
Salz: 4,1g aus bestem magerem Schweinefleisch, luftgetrocknet, geschält, mit 0,5%  Fenchelsamen und -blumen verfeinert, 2 Monate gereift, halbe Stücke, vakuum- verpacktZutaten & AllergeneZutaten: Schweinefleisch, Speck, Kochsalz, Dextrose, Samen- und Fenchelblumen (0,5%), gebrochener Pfeffer, gemahlener Pfeffer, dehydratisierter Knoblauch,Antioxidationsmittel: Natriumascorbat; Konservierungsstoff: Natriumnitrit, Kaliumnitrat. 100g Produkt werden hergestellt aus 142g Schweinefleisch.Allergenhinweise: Enthält: Keine deklarationspflichtigen Allergene enthalten.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.580 kJEnergie381 kcalFett32 gFett, davon gesättigte Fettsäuren13 gKohlenhydrate1,1 gKohlenhydrate, davon Zucker0,8 gEiweiß22 gSalz4,3 gHinweiseAufbewahrungs- und Verwendungshinweis: Unter +7°C lagern, nach dem Öffnen innerhalb kurzer Zeit verzehren.Information: Antioxidationsmittel: E301 (Natriumascorbat); Konservierungsstoff: E250 (Natriumnitrit), E252 (Kaliumnitrat).ArtikeldetailsUrsprungsland: ItalienKontaktKontaktname: R&S Vertriebs GmbHKontaktadresse: Im Teelbruch 87, 45219 EssenMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",16436
33,"ProduktbeschreibungArtikelnummer 38340VOR DEM VERZEHR GUT DURCHGAREN. NICHT ZUM ROHVERZEHR GEEIGNET. Die Haltbarkeit des Produktes ist bis zum angegebenen Datum durch die Einhaltung der angegebenen Temperatur gesichert. Bei einer Unterbrechung der Kühlkette über +4 °C, empfehlen wir Ihnen den Verzehr am Tag des Einkaufes. Nach Öffnen der Packung Ware noch am selben Tag verwenden. Zutaten & AllergeneZutaten: Schweinefleisch 90%, Wasser, Rapsöl, Gewürze, Paprika, Speisesalz, Branntweinessig, Zucker, Gewürzextrakte, Rapskernmehl, Wachsmaisstärke.NährwerteDurchschnittliche Nährwertepro 100 gEnergie1.347,3 kJEnergie325,4 kcalFett28,4 gFett, davon gesättigte Fettsäuren8,7 gKohlenhydrate1 gKohlenhydrate, davon Zucker0,8 gBallaststoffe0,3 gEiweiß16,3 gSalz1,01 gArtikeldetailsMarke: Wilhelm BrandenburgNachhaltigkeitWeitere Informationen zu den Siegeln findest du in unserer Siegelkunde.Für die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",38340
102,"ProduktbeschreibungArtikelnummer 39855Zutaten & AllergeneZutaten: MILCH, Basilikum (1,4%), Speisesalz, mikrobielles Lab, Säuerungsmittel: Citronensäure.Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.029 kJEnergie248 kcalFett19 gFett, davon gesättigte Fettsäuren12,9 gKohlenhydrate1,5 gKohlenhydrate, davon Zucker1,5 gEiweiß17,5 gSalz0,5 gHinweiseAufbewahrungs- und Verwendungshinweis: Nach dem Öffnen gekühlt lagern und innerhalb eines Tages aufbrauchenArtikeldetailsMarke: ZottNettofüllmenge: 280 GUrsprungsland: DeutschlandAbtropfgewicht: 150 gKontaktKontaktname: Zott SE & Co. KGKontaktadresse: Georg-Zott-Straße 1, 86690 Mertingen, DeutschlandMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",39855
171,"ProduktbeschreibungArtikelnummer 66520Feinster Kaffeegenuss im Handumdrehen! Die unkomplizierte Komplettlösung aus löslichem Bohnenkaffee mit Kaffeeweißer und Zucker für die Pause, bei der Arbeit, im Urlaub oder zu Hause. 
So einfach geht’s: Becherportion aufreißen und den Inhalt in einen Becher geben, mit 180 ml heißem, nicht mehr kochendem Wasser aufgießen und umrühren – Jacobs 3 in 1 genießen. Feinster Kaffeegenuss im Handumdrehen! Die unkomplizierte Komplettlösung aus löslichem Bohnenkaffee mit Kaffeeweißer und Zucker für die Pause bei der Arbeit, im Urlaub, zu Hause... So einfach geht’s: Becherportion aufreißen und den Inhalt in einen Becher geben, mit 180 ml heißem, nicht mehr kochendem Wasser aufgießen… umrühren – JACOBS 3in1 genießen.Zutaten & AllergeneZutaten: Zucker (54%), Glukosesirup, Kokosfett (ganz gehärtet), löslicher Bohnenkaffee (8%), Stabilisatoren (E340, E452), MILCHEIWEISS, Emulgatoren (E471, E481), Trennmittel (E551).Allergenhinweise: MILCHEIWEISSEnthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.815 kJEnergie430 kcalFett10 gFett, davon gesättigte Fettsäuren10 gKohlenhydrate81 gKohlenhydrate, davon Zucker59 gBallaststoffe2,2 gEiweiß1,8 gSalz0,15 gHinweiseAufbewahrungs- und Verwendungshinweis: Trocken lagern und vor Wärme schützen.ArtikeldetailsMarke: JacobsEigenschaften: VegetarischUrsprungsland: TschechienKontaktKontaktname: JACOBS DOUWE EGBERTSKontaktadresse: Oosterdoksstraat 80, 1011 DK Amsterdam, The NetherlandsMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",66520
64,"ProduktbeschreibungArtikelnummer 79989effect® verbindet puristisches Design mit ausgewählten Zutaten und natürlich auch mit einer großen Portion Energie. Dieser Energizer ist der perfekte Drink für unterwegs egal, ob auf dem Weg in die Uni, beim Feiern mit Deiner Crew oder für einen Energieschub für zwischendurch. Schöpfe Deine eigenen Potenziale voll aus – Dose auf, Energie rein. Zutaten & AllergeneZutaten: Wasser, Zucker, Säuerungsmittel Citronensäure (E330), Kohlensäure, Taurin, Säureregulator Trinatriumcitrat (E331), Aroma, Glucoronolacton, Kofffein, Farbstoff E 150c (Ammoniak-Zuckerkulör), Inosit, Vitaminmischung: Niacin, Pantothensäure, Vitamin B6, Vitamin B2 und Vitamin B12NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 mlEnergie194 kJEnergie46 kcalFett0 gFett, davon gesättigte Fettsäuren0 gKohlenhydrate11 gKohlenhydrate, davon Zucker11 gEiweiß0 gSalz0,17 gRiboflavin0,6 mgNiacin7 mgPantothensäure2 mgVitamin B62 mgVitamin B122 µgHinweiseInformation: Erhöhter Koffeingehalt. Für Kinder und schwangere oder stillende Frauen nicht empfohlen (32mg/100ml)ArtikeldetailsMarke: EffectNettofüllmenge: 1 LUrsprungsland: DeutschlandPackungsgröße: 1,0lKontaktKontaktname: MBG International Premium Brands GmbHKontaktadresse: Oberes Feld 13, 33106 PaderbornMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",79989
92,"ProduktbeschreibungArtikelnummer 101699Zutaten & AllergeneZutaten: WEIZENMEHL, Zucker, Palmöl, Kakaomasse, GlukoseFruktose-Sirup, VOLLMILCHPULVER, Backtriebmittel: Natriumcarbonate, Diphosphate; Apfelsinenschalen (0,2 %), Kakaobutter, Aromen, Stärke (WEIZEN), Emulgator: Lecithine; Säuerungsmittel: Citronensäure. Kann enthalten: EIER, MANDELN, HASELNÜSSE.Allergenhinweise: Enthält: Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse. Weizen und Weizenerzeugnisse (glutenhaltiges Getreide). Milch und Milcherzeugnisse (einschließlich Lactose). Kann enthalten: Eier und Eierzeugnisse. Nüsse und Nusserzeugnisse. Mandeln und Mandelerzeugnisse. Haselnuss und Haselnusserzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie2.040 kJEnergie487 kcalFett23 gFett, davon gesättigte Fettsäuren12 gKohlenhydrate62 gKohlenhydrate, davon Zucker30 gBallaststoffe3,3 gEiweiß6,4 gSalz0,4 gArtikeldetailsMarke: BahlsenUrsprungsland: DeutschlandKontaktKontaktname: BAHLSENKontaktadresse: 30001 HANNOVERFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",101699
61,"ProduktbeschreibungArtikelnummer 106495Schweppes Indian Tonic Water für stilvollen Genuss. Ein wahrer Kosmopolit. International geschätzt für seinen charismatischen Auftritt und seinen souveränen Geschmack. Eben Indian Tonic Water! Aber warum Indian? Das 1870 eingeführte Indian Tonic Water setzte sich besonders schnell bei den Briten in Indien durch, da das enthaltene Chinin vorbeugend gegen Malaria wirkt. Heute wirkt der Klassiker vor allem erfrischend. Anders. Pur oder als Longdrink, wie Gin- oder Wodka-Tonic. Zutaten & AllergeneZutaten: Wasser, Zucker, Kohlensäure, Säuerungsmittel Citronensäure, natürliches Aroma, Aroma ChininNährwerteDurchschnittliche NährwerteUnzubereitet pro 100 mlEnergie163 kJEnergie37 kcalFett0 gFett, davon gesättigte Fettsäuren0 gKohlenhydrate8,9 gKohlenhydrate, davon Zucker8,9 gBallaststoffe0 gEiweiß0 gSalz0 gHinweiseAufbewahrungs- und Verwendungshinweis: Bitte kühl und dunkel lagernArtikeldetailsMarke: SchweppesNettofüllmenge: 1,25 LUrsprungsland: DeutschlandPackungsgröße: 1,25lKontaktKontaktname: Schweppes Deutschland GmbHKontaktadresse: Hagener Strasse 261, 57223 KreuztalMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",106495
915,"ProduktbeschreibungArtikelnummer 108578Die elmex Junior Zahnpasta für Kinder von 6-12 Jahren mit hochwirksamem Aminfluorid wurde speziell zum Schutz gegen Karies entwickelt. Aminfluorid bildet sofort eine Schutzschicht und remineralisiert so die Zähne zum Schutz gegen Mineralverlust. Bakterien wandeln Zucker in unserer Nahrung in Säuren um, die den Zahnschmelz angreifen. Karies entsteht nicht über Nacht, sondern entwickelt sich über einen längeren Zeitraum hinweg. Im Anfangsstadium kann dieser Prozess noch aufgehalten und umgekehrt werden. Besonders der Zahnschmelz der neuen, bleibenden Zähne ist nach dem Durchbruch noch nicht vollständig gehärtet und deshalb anfälliger für Karies.... mehr anzeigenInhaltsstoffeAqua, Hydrated Silica, Sorbitol, Hydroxyethylcellulose, Olaflur, CI 77891, Aroma, Saccharin, LimoneneArtikeldetailsMarke: ElmexUrsprungsland: PolenLaufzeit nach Öffnen: 12 MonateKontaktKontaktname: Colgate Palmolive GABA GmbHKontaktadresse: Beim Strohhause 17 Hamburg 20097Für die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",108578
934,"ProduktbeschreibungArtikelnummer 114076Nach diesen fleischigen Mini-Sticks ist einfach jede Katze verrückt! Leckerer Geruch, unwiderstehlicher Geschmack – ganz ohne künstliche Geschmacksverstärker. Praktisch: Jeder Stick ist einzeln verpackt – das erhält die Frische und das Aroma.ZusammensetzungZusammensetzung: Fleisch und tierische Nebenerzeugnisse  (95%, davon 6% Geflügel und 6% Leber, 75% Muskelfleisch); MineralstoffeAnalytische Bestandteile: 28,0 % Feuchtigkeit33,5 % Protein20,0 % Fettgehalt2,0 % Rohfaser10,0 % RohascheFütterungsempfehlung1-2 Sticks pro Tag. Den Stick ganz oder in kleine Stücke geteilt als Snack zwischendurch füttern.HinweiseAufbewahrungs- und Verwendungshinweis: Kühl und trocken lagern.ArtikeldetailsMarke: VitakraftUrsprungsland: DeutschlandGeschmacksrichtung: Geflügel & LeberTierart: KatzeFutterart: ErgänzungsfutterKontaktKontakt: +4942148960Zulassungsnummer: DEBW200010Kontaktname: Vitakraft pet care GmbH & Co.KGKontaktadresse: D-28295 BremenFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",114076
785,"ProduktbeschreibungArtikelnummer 115720Zutaten & AllergeneZutaten: Gemüse (49 % Gemüsemais, 29 % Markerbsen, 10 % Paprika rot), Wasser, Salz.Allergenhinweise: Enthält: Keine deklarationspflichtigen Allergene enthalten.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie339,9 kJEnergie80,9 kcalFett1,5 gFett, davon gesättigte Fettsäuren0,2 gKohlenhydrate11,4 gKohlenhydrate, davon Zucker4,4 gBallaststoffe4,1 gEiweiß3,4 gSalz0,57 gHinweiseAufbewahrungs- und Verwendungshinweis: Ungeöffnet bei Zimmertemperatur trocken lagern. Nach dem Öffnen gekühlt lagern und innerhalb eines Tages verbrauchen.ArtikeldetailsMarke: BonduelleNettofüllmenge: 300 MLUrsprungsland: Europäische UnionAbtropfgewicht: 265 gKontaktKontaktname: BonduelleKontaktadresse: Am Heilbrunnen 136/138, D-72766 ReutlingenFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",115720
